"usual_place_healthcare","healthcare_facility_type","awareness_of_clinics","num_ER_visits_past_year","time_since_last_checkup","asthma_in_household","high_bp_in_household","overweight_in_household","depression_in_household","anxiety_in_household","diabetes_in_household","health_insurance_barrier","language_barrier","transportation_availability","doctor_availability","wait_time_barrier","health_coverage","medicaid_medicare_coverage","needed_doctor_but_could_not_due_to_cost","prescription_medication_affordability","trust_in_healthcare_system","difficulty_understanding_written_medical_info","difficulty_understanding_verbal_medical_info","time_since_last_dental_visit","dental_insurance_coverage","forgone_dental_care_due_to_cost","safe_spaces_for_children_after_school","housing_insecurity","feeling_nervous_anxious","unable_to_control_worrying","lack_interest_pleasure","feeling_down_depressed","primary_language_spoken","home_ownership_status","highest_education_level","age","race_ethnicity","income_category","gender_identity","home_ownership","primary_language","received_services_at_catherines","satisfaction_with_catherines","barriers_to_using_catherines","lives_in_zipcode_49548"
"Yes","Doctor’s office or HMO","Catherine’s Health Center","0","Less than 1 year","No one","No one","No one","No one","No one","No one","Agree","Neutral","Agree","Agree","Disagree","Yes","No","No","No","Completely trust","Sometimes","Sometimes","Less than 1 year","Yes","Yes","Yes","No","More than half the days","Not at all","Not at all","Not at all","Other","Own","Some college","39","Asian","$35,000 - $49,999","Female","Own","Other","No",NA,"Other","No"
"Yes","Doctor’s office or HMO","Catherine’s Health Center,Cherry Street Clinic,Corewell Urgent Care","0","Less than 1 year","No one","No one","No one","No one","No one","No one","Agree","Agree","Agree","Agree","Disagree","Yes","No","No","No","Completely trust","Never","Never","Less than 1 year","Yes","No","Yes","Yes","Not at all","Not at all","Not at all","Not at all","English","Rent","High school diploma / GED","34","Black / African-American","$35,000 - $49,999","Female","Rent","English","No",NA,"Other","No"
"Yes","Doctor’s office or HMO","Cherry Street Clinic,Clinica Santa Maria,Corewell Urgent Care","3","Less than 1 year","No one","Respondent","Respondent","Respondent","Respondent","No one","Disagree","Disagree","Agree","Neutral","Disagree","Yes","Medicaid only","No","Yes","Slightly distrust","Never","Never","Less than 1 year","Yes","Yes","Yes","Yes","More than half the days","Several days","Not at all","Not at all","English","Rent","Bachelor's degree","35","Black / African-American","$35,000 - $49,999","Female","Rent","English","No",NA,"Lack of information","No"
"Yes","Doctor’s office or HMO","Catherine’s Health Center,Cherry Street Clinic,Corewell Urgent Care","0","Less than 1 year","Household member","No one","No one","No one","No one","No one","Disagree","Disagree","Agree","Agree","Neutral","Yes","No","No","No","Slightly trust","Never","Never","Less than 1 year","Yes","No","Yes","No","Not at all","Not at all","Not at all","Not at all","English","Own","High school diploma / GED","29","Hispanic / Latino / Spanish origin","$75,000 or above","Female","Own","English","No",NA,"Lack of information,Other","Yes"
"More than one place",NA,"Catherine’s Health Center,Cherry Street Clinic,Corewell Urgent Care","0","Less than 1 year","Don’t know / Refused","Respondent","Don’t know / Refused","Respondent","Respondent","Don’t know / Refused","Agree","Disagree","Disagree","Agree","Agree","Yes","Both","No","No","Completely trust","Never","Never","Less than 1 year","Yes","No","Yes","No","More than half the days","Not at all","More than half the days","Several days","English","Rent","Associate or technical degree","66","White / Caucasian","$10,000 - $14,999","Female","Rent","English","Yes","Very satisfied","","No"
"Yes","Doctor’s office or HMO","Catherine’s Health Center,Cherry Street Clinic,Clinica Santa Maria,Corewell Urgent Care","3","Less than 1 year","No one","No one","No one","No one","No one","No one","Disagree","Disagree","Agree","Agree","Disagree","Yes","Both","No","No","Slightly trust","Sometimes","Never","Less than 1 year","Yes","No","No","No","Not at all","Not at all","Not at all","Not at all","Spanish","Rent","9th-11th grade","66","Hispanic / Latino / Spanish origin","Less than $10,000","Female","Rent","Spanish","No",NA,"Other","Yes"
"Yes","Doctor’s office or HMO","Catherine’s Health Center,Cherry Street Clinic,Corewell Urgent Care","0","Less than 1 year","Respondent","Respondent","Respondent","No one","No one","No one","Disagree","Disagree","Agree","Agree","Disagree","Yes","Medicare only","No","No","Completely trust","Never","Always","1-2 years","No","No","Yes","No","Not at all","Not at all","Not at all","Not at all","English","Own","High school diploma / GED","70","White / Caucasian","$15,000 - $19,999","Prefer not to say","Own","English","No",NA,"Other","Yes"
"More than one place",NA,"Catherine’s Health Center,Corewell Urgent Care","0","Less than 1 year","No one","No one","No one","Respondent","No one","No one","Neutral","Agree","Agree","Agree","Agree","Yes","Medicaid only","Yes","Yes","Refused","Sometimes","Sometimes","Less than 1 year","Yes","No","Yes","Refused","Don’t know / Not sure","Several days","Several days","More than half the days","Spanish","Rent","6th-8th grade","44","Hispanic / Latino / Spanish origin","$25,000 - $34,999","Female","Rent","Spanish","No",NA,"Refused","Yes"
"Yes","Clinic or health center","Catherine’s Health Center","2","Less than 1 year","Don’t know / Refused","Don’t know / Refused","Don’t know / Refused","Don’t know / Refused","Don’t know / Refused","Don’t know / Refused","Neutral","Neutral","Agree","Agree","Neutral","Yes","Medicaid only","No","No","Completely trust","Sometimes","Sometimes","1-2 years","Yes","No","Don’t know / Not sure","No","Not at all","Not at all","Not at all","Not at all","Vietnamese","Don’t know / Not sure","High school diploma / GED","54","Asian","$10,000 - $14,999","Female","Don’t know / Not sure","Vietnamese","No","Satisfied","","No"
"Yes","Clinic or health center","Catherine’s Health Center","5","Less than 1 year","Don’t know / Refused","Don’t know / Refused","Don’t know / Refused","Don’t know / Refused","Don’t know / Refused","Don’t know / Refused","Neutral","Neutral","Agree","Agree","Neutral","No","No","No","No","Completely trust","Sometimes","Sometimes","Less than 1 year","No","Yes","No","No","Not at all","Not at all","Not at all","Not at all","Vietnamese","Refused","High school diploma / GED","67","Asian","Refused","Female","Refused","Vietnamese","No","Satisfied","","No"
"Yes","Clinic or health center","Catherine’s Health Center","1","More than 5 years","Respondent","Household member","Respondent","No one","No one","No one","Agree","Neutral","Agree","Agree","Disagree","No","No","Yes","No","Slightly trust","Never","Never","Less than 1 year","No","No","Don’t know / Not sure","No","Not at all","Not at all","Not at all","Not at all","Spanish","Rent","9th-11th grade","63","Hispanic / Latino / Spanish origin","Less than $10,000","Female","Rent","Spanish","Yes","Very satisfied","","Yes"
"Yes","Doctor’s office or HMO","Catherine’s Health Center,Cherry Street Clinic,Corewell Urgent Care","20","Less than 1 year","Household member","No one","Respondent,Household member","Respondent,Household member","Respondent,Household member","Respondent","Agree","Disagree","Neutral","Agree","Neutral","Yes","Medicaid only","Yes","Yes","Slightly distrust","Never","Never","Less than 1 year","Yes","Yes","No","Yes","Several days","More than half the days","Nearly every day","Several days","English","Don’t know / Not sure","Some college","39","White / Caucasian","$35,000 - $49,999","Male","Don’t know / Not sure","English","Yes","Very satisfied","","Yes"
"Yes","Clinic or health center","Catherine’s Health Center,Corewell Urgent Care","0","Less than 1 year","No one","No one","No one","No one","No one","No one","Disagree","Disagree","Agree","Agree","Disagree","Yes","Medicare only","No","No","Completely trust","Never","Never","Less than 1 year","Yes","No","Yes","No","Not at all","Not at all","Don’t know / Not sure","Not at all","Nepali","Rent","High school diploma / GED","29","Asian","Don’t know / Not sure","Female","Rent","Nepali","No","Don’t know / Not sure","Other","Yes"
"Yes","Doctor’s office or HMO","Catherine’s Health Center","1","Less than 1 year","No one","No one","Household member","No one","No one","No one","Disagree","Disagree","Agree","Agree","Disagree","Yes","Medicaid only","No","No","Slightly trust","Occasionally","Never","1-2 years","Yes","No","Yes","No","Several days","Several days","Not at all","Not at all","Nepali","Rent","Associate or technical degree","27","Asian","$35,000 - $49,999","Female","Rent","Nepali","No",NA,"Lack of information,Other","Yes"
"No",NA,"Catherine’s Health Center,Exalta Health,Cherry Street Clinic,Clinica Santa Maria,Corewell Urgent Care","1","Less than 1 year","Respondent","No one","Respondent","No one","Respondent","No one","Disagree","Disagree","Agree","Disagree","Neutral","Yes","No","Yes","No","Completely distrust","Never","Sometimes","2-5 years","Yes","Yes","Yes","Yes","Nearly every day","Not at all","Not at all","Not at all","Spanish","Rent","Some college","26","Hispanic / Latino / Spanish origin","$35,000 - $49,999","Female","Rent","Spanish","No",NA,"Other","Yes"
"Yes","Doctor’s office or HMO","Catherine’s Health Center,Cherry Street Clinic,Corewell Urgent Care","2","1-2 years","No one","No one","Respondent","No one","No one","No one","Disagree","Disagree","Agree","Agree","Disagree","Yes","Medicaid only","No","No","Neither trust nor distrust","Occasionally","Never","Less than 1 year","Yes","Yes","Yes","No","Not at all","Several days","Not at all","Not at all","English","Own","Some college","42","White / Caucasian","$15,000 - $19,999","Female","Own","English","Yes","Satisfied","","Yes"
"Yes","Doctor’s office or HMO","Cherry Street Clinic,Corewell Urgent Care","0","Less than 1 year","No one","Respondent,Household member","Household member","Respondent","No one","Respondent","Disagree","Disagree","Agree","Agree","Disagree","Yes","Medicare only","No","No","Slightly trust","Occasionally","Never","Less than 1 year","Yes","No","Yes","No","Not at all","Not at all","Not at all","Several days","English","Own","Bachelor's degree","75","White / Caucasian","$35,000 - $49,999","Male","Own","English","No",NA,"Lack of information","Yes"
